code,sex1or0,age,PA150m1or0,cdrisc_total,POMmean,CMAAS_total,Resilience_personalcompetence,Resilience_tolerance,Resilience_positiveaccept,Resilience_control,Resilience_spiritual
1085,1,23,1,100,5,67,4,4,4,4,4
8,0,19,1,99,4.714285714,50,4,4,3.8,4,4
1141,0,23,1,95,3.714285714,76,3.75,3.714285714,3.8,4,4
1006,0,22,1,95,4.285714286,84,4,3.428571429,3.8,4,4
193,0,20,1,94,5,72,3.875,3.857142857,3.6,4,3
1087,0,22,1,94,4.714285714,68,3.875,3.714285714,3.8,3.666666667,3.5
1058,0,30,1,94,3.857142857,53,4,3.714285714,3.8,3.333333333,3.5
1134,1,23,0,93,4.857142857,76,3.75,3.428571429,4,4,3.5
4003,0,20,1,92,4,74,4,3.857142857,3.2,4,2.5
33,0,20,1,92,5,78,3.75,3.428571429,4,3.333333333,4
1033,1,20,0,91,3.857142857,55,3.875,3.428571429,3.6,3.666666667,3.5
1039,1,23,1,91,4.142857143,38,3.625,3.714285714,4,3.666666667,2.5
1048,0,21,1,91,5,68,4,3.428571429,4,3.333333333,2.5
1098,0,24,1,90,4,66,3.875,3.714285714,3.2,3.333333333,3.5
74,1,19,1,90,4.714285714,83,3.25,3.857142857,3.8,3.666666667,3.5
4010,0,20,0,88,4.285714286,64,4,3.714285714,2.8,3.333333333,3
148,1,21,1,88,4,68,3.75,3.571428571,3.2,3.333333333,3.5
1042,0,26,1,88,4.142857143,69,3.875,3.142857143,3.4,3.666666667,3.5
1101,0,21,1,88,4.428571429,65,3.75,3.428571429,3.8,3,3
195,1,18,0,88,3.857142857,78,3.75,3.142857143,3.8,4,2.5
1170,1,20,1,88,3.714285714,68,3.875,3,3.8,3.666666667,3
1061,0,24,1,87,4.571428571,47,3.625,3.428571429,3.6,3.333333333,3
4005,1,20,0,87,4.714285714,58,3.75,3,3.6,3.333333333,4
36,0,20,1,86,4,64,4,3,3,4,3
169,0,18,1,86,3.285714286,77,3.625,3.142857143,3.2,4,3.5
1020,0,24,1,86,4,68,3.5,3.428571429,3.4,3.333333333,3.5
1094,0,20,1,86,4.285714286,79,3.75,3.428571429,3.4,2.666666667,3.5
25,1,22,1,86,4.571428571,56,3.875,3.285714286,3.4,3.666666667,2
77,0,19,1,86,2.142857143,47,3.875,3,3.4,3.333333333,3.5
16,0,19,1,86,4.857142857,77,3.625,3.142857143,3.8,4,2
1077,1,21,1,86,3.285714286,57,3.5,3.571428571,4,2.666666667,2.5
1078,1,21,1,85,5,66,3.375,3.714285714,3.2,3.333333333,3
2003,1,20,0,85,5,41,3.375,3.285714286,3.2,3.666666667,4
1066,1,21,1,85,3.285714286,79,3.25,3.142857143,3.6,4,3.5
1018,1,20,1,85,4.142857143,74,3.375,3.428571429,3.8,3,3
90,1,21,1,85,5,66,3.75,3,4,3,2.5
219,1,19,1,84,4.142857143,53,3.125,3.571428571,3.2,4,3
4022,1,20,0,84,3.714285714,39,2.875,3.714285714,3.4,3.333333333,4
1123,0,22,1,84,3.571428571,63,3,3.714285714,3.6,3.333333333,3
221,1,20,1,84,4.428571429,72,3.125,3.142857143,3.8,3.666666667,3.5
115,0,20,1,83,4.142857143,65,3.375,3.428571429,3,3.333333333,3.5
1093,1,22,1,83,3.714285714,71,3.25,3.285714286,3.2,3.333333333,4
189,0,19,0,83,3.714285714,69,3.5,3,3.8,3.333333333,2.5
3,0,22,1,82,4,65,3,3.428571429,3.4,3.666666667,3
99,0,19,1,82,5,82,3.125,3.428571429,3.4,3.666666667,2.5
4023,0,20,1,82,4,64,3.5,3.285714286,3.4,2.666666667,3
1026,1,20,1,82,4.428571429,70,3.75,2.428571429,3.4,4,3
4002,0,19,1,82,3.428571429,76,3.5,3.142857143,3.6,3,2.5
